300 4730
36 192 9
36 196 31
36 209 1
36 218 23
36 237 9
36 259 27
36 273 19
36 287 9
37 28 23
37 38 100
37 39 1
37 44 37
37 65 14
37 75 12
37 91 29
37 116 39
37 126 11
37 135 23
37 155 16
37 160 26
37 163 44
37 191 37
37 193 14
37 194 49
37 222 24
37 240 20
37 254 12
37 263 26
37 283 44
37 292 33
38 14 39
38 30 47
38 39 100
38 42 35
38 98 29
38 129 39
38 156 46
38 161 29
39 10 6
39 39 9
39 40 100
39 47 5
39 64 34
39 75 10
39 92 32
39 97 19
39 157 39
39 168 15
39 180 1
39 217 36
39 219 31
39 233 46
39 236 43
39 246 24
39 257 20
39 261 7
39 280 49
39 282 39
40 1 8
40 41 100
40 81 2
40 93 2
40 131 16
40 141 33
40 172 4
40 195 24
40 214 29
40 273 6
41 25 7
41 39 5
41 42 100
41 74 10
41 77 38
41 99 49
41 176 3
41 231 49
42 37 4
42 43 100
42 44 19
42 48 37
42 78 44
42 94 2
42 98 6
42 102 6
42 105 36
42 118 36
42 119 34
42 124 30
42 135 44
42 147 18
42 153 2
42 165 37
42 168 40
42 170 40
42 249 41
42 273 33
42 278 28
42 282 17
43 14 36
43 21 35
43 26 7
43 44 100
43 51 2
43 67 1
43 109 37
43 118 24
43 162 13
43 168 42
43 191 14
43 195 11
43 208 38
43 222 1
43 230 27
43 279 23
43 291 15
44 11 38
44 45 100
44 119 49
44 123 1
44 125 28
44 129 2
44 160 22
44 162 17
44 171 3
44 195 2
44 216 29
44 225 22
44 238 2
44 242 19
44 285 43
45 26 15
45 44 11
45 46 100
45 53 46
45 79 47
45 103 27
45 128 26
45 150 22
45 153 32
45 160 49
45 171 27
45 180 27
45 184 22
45 196 35
45 216 20
45 225 24
45 238 43
45 259 40
45 280 5
45 293 10
46 7 24
46 10 22
46 17 38
46 38 3
46 47 100
46 65 39
46 86 3
46 97 48
46 98 3
46 99 49
46 102 35
46 106 24
46 118 28
46 143 26
46 145 8
46 151 6
46 156 31
46 163 31
46 174 25
46 188 30
46 217 49
46 227 3
46 247 18
46 298 12
47 43 6
47 48 100
47 80 36
47 142 11
47 165 47
47 169 6
47 178 16
47 218 37
47 239 34
47 289 13
48 15 42
48 16 9
48 49 100
48 65 12
48 84 1
48 85 45
48 99 39
48 115 37
48 141 13
48 147 38
48 152 25
48 183 41
48 188 19
48 190 15
48 192 18
48 203 45
48 238 22
48 248 13
48 284 47
48 292 34
49 5 11
49 12 14
49 30 41
49 33 35
49 50 1
49 69 40
49 139 47
49 146 4
49 175 42
49 193 3
49 197 21
49 228 30
49 229 7
49 237 9
49 252 29
49 268 36
49 287 13
50 13 26
50 36 8
50 45 40
50 51 100
50 65 1
50 81 5
50 99 27
50 115 34
50 131 48
50 174 5
50 187 19
50 205 12
50 206 10
50 221 2
50 224 14
50 247 44
50 272 8
50 278 42
50 280 45
51 19 14
51 52 100
51 77 21
51 101 22
51 195 21
51 201 46
51 228 47
51 259 47
51 265 9
51 296 9
52 31 16
52 36 42
52 46 39
52 48 9
52 53 100
52 58 41
52 124 6
52 142 15
52 174 3
52 202 41
52 249 45
52 250 32
52 258 42
52 273 13
52 276 35
52 296 15
53 47 30
53 50 48
53 54 100
53 62 21
53 80 12
53 105 23
53 131 30
53 135 37
53 137 1
53 138 12
53 153 49
53 159 11
53 225 18
53 254 5
53 268 31
53 269 48
53 272 2
53 280 12
53 295 3
54 11 2
54 55 100
54 89 31
54 139 7
54 181 29
54 193 46
54 253 49
54 273 44
54 280 5
55 37 11
55 44 5
55 56 100
55 82 23
55 102 28
55 196 31
55 204 36
55 207 3
55 212 34
55 214 6
55 215 46
55 219 36
55 221 37
55 239 5
55 245 44
55 248 44
55 254 17
55 289 44
55 298 40
56 31 29
56 34 20
56 40 43
56 42 14
56 52 5
56 57 100
56 60 13
56 86 26
56 88 29
56 120 27
56 126 45
56 139 15
56 167 20
56 173 38
56 192 25
56 207 10
56 221 4
56 228 31
56 253 8
56 254 1
57 14 18
57 39 32
57 58 100
57 78 23
57 97 47
57 143 41
57 166 38
57 167 17
57 207 10
57 208 10
57 232 5
57 245 27
57 274 6
57 276 27
58 2 4
58 5 47
58 6 1
58 45 42
58 59 100
58 62 42
58 116 29
58 121 26
58 122 17
58 126 36
58 149 17
58 214 47
58 224 26
58 227 34
58 233 41
58 255 47
59 24 6
59 47 6
59 49 38
59 60 100
59 81 20
59 116 41
59 137 49
59 155 39
59 156 34
59 171 46
59 220 3
59 229 22
59 240 33
59 267 38
59 275 4
60 19 40
60 29 49
60 40 1
60 53 9
60 61 100
60 72 8
60 75 27
60 81 8
60 111 20
60 120 1
60 128 48
60 170 9
60 185 30
60 187 48
60 206 3
60 232 23
60 255 28
60 269 36
60 286 22
61 15 46
61 21 22
61 23 6
61 45 39
61 48 44
61 62 100
61 74 42
61 89 2
61 121 42
61 129 29
61 147 49
61 153 10
61 179 4
61 187 41
61 196 44
61 198 10
61 204 12
61 205 37
61 224 11
61 288 13
61 289 7
62 57 11
62 63 100
62 136 40
62 159 36
62 269 32
62 290 12
63 16 43
63 20 39
63 26 9
63 29 3
63 38 42
63 53 21
63 60 44
63 64 100
63 71 13
63 72 28
63 93 41
63 128 3
63 151 34
63 156 10
63 159 18
63 166 30
63 175 39
63 202 6
63 218 32
63 225 15
63 233 8
63 267 3
63 277 12
64 6 31
64 10 23
64 25 49
64 65 100
64 155 25
64 170 41
64 172 7
64 201 6
64 216 40
64 223 7
64 226 32
64 242 7
65 15 21
65 60 29
65 66 100
65 90 6
65 102 22
65 157 28
65 167 17
65 179 49
65 183 1
65 215 33
65 297 17
66 31 15
66 36 18
66 61 32
66 67 100
66 85 15
66 106 26
66 150 34
66 154 7
66 155 8
66 168 1
66 172 9
66 197 16
66 223 38
66 236 16
66 241 7
66 244 45
66 265 22
66 277 36
66 278 46
66 291 25
67 19 2
67 31 19
67 42 28
67 68 100
67 93 25
67 148 22
67 149 21
67 158 14
67 164 36
67 176 22
67 180 29
67 215 40
67 222 6
67 232 43
67 235 7
67 246 10
67 253 40
67 265 20
67 272 4
67 274 34
67 284 2
68 30 1
68 49 36
68 52 8
68 69 100
68 78 8
68 84 20
68 90 10
68 156 14
68 168 29
68 170 1
68 171 39
68 191 7
68 202 10
68 245 33
68 265 15
69 70 100
69 71 37
69 112 23
69 128 8
69 170 16
69 185 28
69 189 28
69 201 26
69 212 11
69 221 8
69 222 43
69 224 33
69 239 9
69 268 20
69 293 16
69 297 49
70 19 11
70 31 41
70 34 46
70 51 36
70 64 25
70 67 37
70 71 100
70 80 16
70 138 42
70 145 2
70 169 34
70 178 17
70 182 28
70 212 42
70 228 21
70 232 42
70 235 18
70 236 5
70 258 2
70 261 36
70 269 4
70 285 16
70 291 35
70 298 24
71 40 45
71 41 16
71 62 43
71 72 100
71 76 2
71 144 28
71 155 13
71 164 11
71 170 27
71 172 32
71 235 32
71 258 47
71 282 29
71 292 39
72 18 36
72 43 22
72 73 100
72 75 35
72 83 3
72 87 43
72 97 42
72 113 24
72 120 38
72 126 47
72 145 34
72 148 10
72 168 44
72 169 28
72 189 42
72 230 18
72 299 17
73 1 22
73 17 2
73 29 21
73 34 47
73 42 23
73 45 28
73 71 8
73 74 100
73 100 5
73 106 33
73 114 21
73 119 44
73 122 21
73 128 21
73 131 45
73 151 4
73 163 45
73 196 26
73 199 44
73 227 37
73 256 34
73 270 39
73 293 40
74 38 8
74 71 33
74 75 100
74 78 24
74 85 34
74 95 15
74 108 27
74 143 47
74 155 10
74 162 9
74 163 11
74 171 20
74 174 23
74 194 19
74 200 18
74 203 42
74 210 25
74 221 14
74 225 15
74 269 33
74 281 9
74 284 20
75 11 23
75 27 16
75 31 48
75 62 45
75 75 28
75 76 100
75 90 33
75 127 31
75 176 48
75 199 30
75 215 47
75 220 19
75 249 19
75 272 39
75 286 45
76 23 23
76 68 19
76 77 100
76 86 15
76 97 46
76 106 9
76 125 48
76 126 40
76 144 2
76 176 33
76 218 32
76 268 28
76 279 42
77 17 43
77 18 4
77 20 34
77 31 40
77 77 35
77 78 100
77 105 26
77 147 2
77 228 26
77 254 23
77 269 37
77 273 32
78 16 48
78 28 22
78 34 49
78 79 100
78 83 49
78 88 49
78 94 43
78 99 12
78 126 44
78 141 41
78 145 28
78 223 32
78 224 27
78 243 46
78 272 37
78 282 4
78 287 5
79 14 35
79 29 41
79 40 43
79 50 22
79 61 38
79 80 100
79 85 4
79 86 20
79 88 15
79 90 10
79 117 27
79 157 17
79 164 19
79 194 39
79 202 25
79 220 2
79 241 19
79 255 13
79 267 14
79 269 11
79 274 40
79 293 7
80 2 14
80 45 33
80 81 100
80 100 11
80 119 24
80 169 5
80 207 33
80 238 43
80 285 2
80 286 39
80 298 5
81 30 11
81 41 41
81 50 14
81 82 100
81 109 2
81 121 31
81 136 3
81 141 20
81 145 10
81 158 22
81 160 39
81 168 44
81 182 24
81 200 26
81 201 31
81 202 28
81 229 9
81 234 23
81 284 49
81 297 16
82 35 48
82 53 2
82 83 100
82 111 9
82 144 21
82 171 21
82 184 36
82 242 20
83 24 6
83 27 19
83 50 34
83 84 100
83 122 6
83 146 14
83 168 39
83 179 17
83 187 8
83 225 29
83 244 6
83 251 26
83 260 49
83 270 13
83 289 12
84 3 42
84 7 7
84 50 43
84 61 6
84 84 2
84 85 100
84 90 24
84 104 40
84 107 3
84 109 5
84 110 38
84 115 2
84 134 18
84 157 41
84 258 43
84 289 6
84 300 49
85 86 100
85 106 36
85 141 19
85 176 17
85 204 4
85 261 5
85 291 10
86 17 36
86 18 46
86 29 16
86 46 35
86 71 31
86 85 39
86 87 100
86 102 9
86 124 32
86 143 15
86 153 8
86 228 43
86 244 4
86 245 14
86 282 18
86 291 14
87 6 46
87 15 15
87 21 37
87 43 12
87 47 21
87 88 100
87 93 23
87 119 43
87 121 7
87 144 23
87 154 1
87 172 33
87 179 23
87 249 34
87 263 35
87 265 6
87 281 10
87 298 26
88 11 46
88 21 17
88 30 11
88 52 19
88 78 9
88 83 48
88 88 35
88 89 100
88 90 47
88 113 25
88 114 2
88 140 23
88 278 21
88 279 42
88 284 26
88 299 11
89 2 41
89 7 14
89 37 12
89 42 5
89 51 45
89 82 11
89 90 100
89 106 48
89 126 41
89 136 27
89 165 26
89 169 33
89 176 26
89 181 26
89 183 30
89 185 28
89 197 1
89 265 5
90 31 38
90 42 44
90 63 19
90 68 1
90 70 25
90 91 100
90 101 12
90 130 19
90 145 47
90 166 38
90 178 40
90 231 16
90 266 9
91 14 14
91 51 48
91 58 5
91 92 100
91 149 38
91 209 13
91 224 8
91 226 23
92 9 5
92 18 10
92 20 9
92 33 33
92 67 7
92 69 48
92 87 25
92 88 35
92 93 100
92 97 32
92 106 45
92 118 33
92 133 43
92 147 37
92 152 28
92 172 16
92 217 34
92 220 28
92 224 47
92 233 40
92 250 16
92 289 37
92 292 37
92 297 49
93 20 25
93 27 39
93 48 23
93 52 26
93 94 100
93 97 10
93 99 1
93 142 1
93 168 33
93 216 19
93 235 39
93 240 45
93 246 13
93 283 30
93 295 11
93 299 36
94 43 49
94 95 29
94 161 11
94 162 32
94 174 37
95 18 1
95 67 20
95 96 100
95 163 31
95 165 28
95 172 40
95 187 2
95 218 38
96 53 43
96 86 3
96 97 100
96 118 46
96 133 16
96 195 32
96 211 17
96 237 24
96 274 10
97 11 29
97 17 34
97 31 1
97 84 33
97 98 100
97 102 45
97 125 41
97 127 13
97 143 45
97 144 20
97 150 12
97 161 29
97 166 21
97 174 32
97 182 31
97 192 27
97 199 27
97 200 20
97 215 4
97 260 2
97 292 27
97 297 37
97 300 7
98 1 33
98 8 29
98 16 5
98 44 43
98 74 14
98 76 29
98 91 12
98 93 37
98 99 100
98 101 12
98 144 2
98 175 32
98 176 41
98 178 40
98 181 46
98 193 45
98 198 33
98 202 29
98 212 3
98 233 37
98 249 1
98 250 37
98 276 17
99 42 1
99 59 40
99 100 100
99 160 41
99 170 31
99 178 11
99 184 31
99 189 29
99 242 12
99 248 48
99 259 12
99 272 45
99 277 9
100 6 6
100 16 38
100 22 43
100 25 16
100 35 36
100 74 26
100 96 32
100 101 100
100 141 25
100 147 38
100 152 29
100 154 15
100 174 31
100 176 46
100 204 19
100 216 16
100 244 48
100 245 45
100 253 33
100 276 45
100 286 27
100 289 47
100 294 39
101 4 26
101 58 15
101 76 35
101 102 100
101 121 24
101 141 32
101 180 44
101 194 40
101 216 8
101 217 5
101 282 9
102 4 2
102 12 29
102 17 33
102 20 43
102 68 3
102 74 42
102 80 7
102 100 25
102 103 100
102 157 44
102 161 29
102 230 36
102 235 30
102 247 30
102 267 46
102 272 32
102 300 3
103 12 7
103 26 47
103 27 15
103 30 2
103 64 40
103 68 29
103 87 24
103 99 49
103 104 100
103 125 9
103 128 5
103 134 13
103 136 28
103 151 14
103 165 25
103 168 26
103 186 22
103 203 39
103 230 7
103 254 21
103 297 43
104 9 20
104 105 100
104 124 2
104 160 18
104 276 27
104 283 22
105 1 7
105 106 100
105 109 35
105 122 39
105 146 5
105 173 19
105 206 22
105 212 31
106 5 5
106 9 2
106 10 6
106 25 12
106 43 25
106 51 43
106 78 48
106 107 100
106 113 8
106 120 22
106 128 43
106 130 34
106 133 31
106 137 48
106 148 47
106 162 4
106 169 33
106 178 17
106 208 14
106 211 7
106 257 38
107 14 4
107 18 11
107 42 36
107 49 34
107 60 14
107 87 26
107 92 32
107 96 38
107 108 100
107 123 34
107 133 22
107 140 24
107 145 6
107 157 36
107 164 37
107 179 41
107 185 7
107 187 38
107 194 9
107 216 14
107 230 9
107 244 18
107 247 24
107 280 36
108 103 20
108 109 100
108 140 24
108 177 9
108 286 17
109 10 16
109 19 39
109 23 5
109 35 47
109 44 9
109 97 22
109 103 11
109 110 100
109 123 32
109 125 28
109 134 25
109 160 33
109 184 42
109 211 16
109 226 29
109 234 4
109 242 26
109 271 32
109 282 6
109 290 42
109 293 49
109 294 21
110 37 21
110 50 7
110 94 21
110 111 100
110 117 15
110 189 34
110 228 45
110 262 8
110 275 35
111 11 40
111 15 29
111 30 7
111 45 48
111 102 47
111 105 40
111 112 100
111 133 46
111 157 22
111 204 46
111 231 38
111 250 45
111 259 21
111 268 39
111 270 23
111 300 13
112 25 10
112 44 25
112 113 100
112 120 3
112 121 13
112 176 36
112 207 20
112 218 27
112 225 9
112 227 46
112 244 42
112 257 8
112 264 37
112 289 27
112 295 44
112 297 31
113 12 38
113 26 43
113 80 2
113 114 100
113 223 45
113 270 24
114 6 41
114 20 13
114 21 47
114 30 20
114 37 11
114 67 17
114 72 11
114 115 100
114 128 31
114 159 42
114 166 2
114 167 40
114 195 4
114 201 14
114 209 23
114 219 37
114 238 8
114 282 10
115 65 22
115 105 35
115 116 100
115 148 28
115 220 6
115 244 30
115 286 24
116 16 38
116 17 16
116 24 32
116 28 1
116 35 12
116 83 43
116 117 100
116 154 17
116 161 24
116 162 23
116 174 7
116 179 28
116 189 24
116 194 9
116 226 35
116 230 8
117 81 16
117 104 15
117 118 100
117 136 6
117 155 40
117 278 49
118 25 47
118 80 37
118 102 16
118 114 29
118 119 100
118 122 4
118 136 44
118 155 23
118 183 22
118 212 34
118 234 22
118 259 34
118 274 46
119 79 47
119 82 14
119 110 11
119 120 26
119 127 15
119 193 11
119 199 3
119 219 6
119 235 33
119 254 20
119 270 42
120 81 14
120 118 28
120 121 100
120 123 3
120 137 21
120 160 18
120 169 33
120 196 41
120 260 6
120 269 5
121 40 19
121 71 21
121 72 49
121 122 100
121 224 1
121 233 2
121 289 24
122 36 13
122 118 8
122 123 100
122 213 35
122 241 16
122 270 32
123 10 48
123 11 41
123 17 2
123 20 15
123 60 22
123 62 3
123 73 23
123 75 32
123 83 9
123 101 5
123 117 26
123 119 43
123 124 100
123 132 22
123 141 22
123 202 47
123 240 47
123 245 45
123 259 40
123 282 13
124 16 6
124 35 13
124 49 38
124 50 45
124 53 4
124 86 49
124 103 36
124 125 100
124 141 39
124 238 1
124 285 8
124 293 4
125 6 42
125 27 18
125 33 42
125 53 2
125 65 5
125 85 22
125 116 12
125 119 8
125 126 100
125 142 39
125 160 38
125 173 19
125 190 44
125 194 19
125 230 6
125 252 2
125 257 18
125 262 38
125 280 12
125 298 14
126 18 29
126 35 42
126 48 48
126 51 49
126 88 26
126 96 32
126 98 47
126 109 27
126 121 40
126 127 100
126 136 46
126 146 26
126 150 11
126 156 17
126 175 36
126 192 31
126 204 28
126 232 23
126 233 23
126 243 42
126 247 32
127 109 28
127 128 100
127 133 14
127 219 30
127 226 44
127 273 22
127 289 11
128 47 38
128 49 24
128 54 26
128 101 25
128 102 19
128 129 100
128 218 48
128 237 32
128 253 49
129 23 26
129 50 10
129 51 20
129 74 42
129 75 1
129 108 28
129 118 44
129 128 9
129 130 100
129 161 12
129 167 39
129 172 23
129 215 2
129 221 44
129 225 7
129 297 49
129 298 12
130 16 37
130 40 15
130 60 1
130 63 2
130 66 15
130 73 44
130 85 23
130 87 48
130 93 49
130 119 42
130 122 25
130 131 100
130 137 38
130 146 15
130 163 38
130 167 32
130 173 5
130 174 32
130 182 29
130 187 34
130 231 12
130 251 22
130 291 12
131 1 34
131 21 37
131 42 37
131 66 15
131 80 14
131 115 40
131 131 32
131 132 100
131 137 13
131 155 33
131 170 48
131 178 38
131 195 17
131 203 21
131 257 46
131 283 41
132 22 17
132 29 44
132 36 13
132 53 5
132 66 48
132 119 17
132 133 100
132 151 25
132 175 42
132 205 11
132 207 37
132 213 36
132 237 20
132 239 29
132 249 20
132 255 47
132 268 20
132 270 10
132 297 1
132 299 4
133 1 1
133 28 16
133 60 23
133 122 7
133 128 39
133 130 29
133 134 100
133 143 49
133 155 13
133 168 33
133 174 28
133 183 21
133 201 33
133 205 30
133 212 43
133 221 23
133 253 14
133 254 15
134 9 28
134 18 8
134 24 16
134 31 34
134 40 2
134 41 23
134 42 47
134 46 10
134 47 48
134 67 44
134 76 14
134 96 29
134 110 40
134 125 18
134 130 41
134 135 100
134 140 10
134 144 16
134 157 39
134 167 1
134 196 19
134 223 21
134 263 42
135 1 35
135 4 34
135 5 8
135 6 31
135 43 29
135 56 8
135 124 33
135 135 3
135 136 100
135 140 41
135 164 22
135 184 38
135 226 43
135 240 19
135 249 4
135 255 17
135 272 8
135 290 29
135 298 24
136 137 100
136 149 2
136 150 30
136 169 8
136 175 25
136 195 20
136 222 41
136 234 44
136 294 26
137 39 19
137 76 7
137 108 37
137 128 37
137 138 100
137 164 8
137 201 37
137 288 48
137 292 9
138 9 7
138 73 1
138 86 40
138 139 100
138 193 11
138 195 44
138 197 44
138 204 8
138 237 27
139 3 24
139 10 17
139 72 8
139 79 11
139 88 9
139 99 19
139 106 10
139 140 100
139 168 30
139 193 34
139 194 20
139 214 27
139 217 13
139 219 30
139 238 30
140 30 34
140 86 42
140 99 32
140 100 1
140 113 46
140 115 35
140 141 100
140 190 31
140 198 38
140 210 8
140 256 18
140 268 9
141 1 5
141 78 4
141 142 100
141 180 18
141 194 48
141 230 46
141 270 48
141 282 19
142 33 12
142 67 44
142 69 6
142 95 22
142 105 24
142 109 1
142 116 16
142 126 23
142 143 100
142 144 11
142 145 49
142 172 23
142 179 8
142 186 9
142 187 37
142 200 43
142 248 15
142 262 24
142 267 49
142 280 16
142 288 46
143 23 49
143 37 44
143 46 31
143 96 48
143 97 29
143 133 19
143 138 22
143 144 100
143 173 29
143 197 17
143 292 24
144 3 43
144 18 23
144 29 20
144 35 16
144 68 47
144 73 24
144 113 28
144 132 47
144 145 100
144 150 42
144 189 8
144 194 21
144 269 5
144 275 6
144 292 39
145 17 13
145 57 37
145 58 5
145 69 14
145 89 38
145 101 8
145 114 34
145 122 47
145 146 100
145 157 30
145 178 14
145 186 41
145 196 14
145 197 38
145 213 19
145 266 35
145 291 14
145 295 3
146 47 23
146 83 38
146 96 44
146 147 100
146 178 19
146 183 48
146 215 15
146 270 22
147 7 16
147 15 39
147 25 20
147 41 5
147 49 45
147 76 15
147 80 19
147 85 18
147 93 5
147 100 32
147 102 9
147 116 47
147 128 25
147 138 32
147 148 100
147 150 6
147 165 8
147 167 8
147 168 33
147 217 35
147 264 22
147 268 28
147 280 44
148 14 4
148 27 37
148 33 21
148 39 12
148 95 42
148 133 34
148 138 21
148 143 33
148 149 100
148 200 48
148 206 49
148 209 8
148 221 35
148 226 24
148 259 12
148 273 21
148 289 12
148 291 24
149 10 45
149 48 23
149 107 29
149 134 6
149 150 100
149 163 7
149 185 33
149 205 46
149 233 35
149 265 23
150 16 5
150 30 23
150 36 43
150 40 3
150 42 42
150 57 18
150 64 6
150 75 16
150 107 6
150 111 41
150 147 17
150 151 100
150 160 37
150 161 40
150 189 5
150 208 49
150 212 7
150 220 46
150 234 34
150 237 42
150 273 47
150 277 37
150 290 34
150 292 41
